No,Key,Summary_Description,label,indicator
1,CAMEL-17779,"camel-elasticsearch-rest - Deprecate due to change of license - org.elasticsearch.client:elasticsearch-rest-high-level-client:jar:7.10.2:compile

The high level client 7.10.2 is the last released under ASF2 license.
They change the license forward to a license that is x-category for ASF.

We should deprecate this component, and create a new component using the lower level java api which is still released under ASF2 license.",ATD,viomod
2,CAMEL-16872,"Upgrade xchange to 5.0.11 - The 5.0.8 version currently used by Camel uses some Binance APIs that are supposed to no longer be available.

https://www.binance.com/en/support/announcement/f45dde7da58b473aa885349946bed269

We should upgrade to the latest xchange version as this has been fixed. 

See also:

https://github.com/apache/camel-quarkus/issues/3016",ATD,obstech
3,CAMEL-16174,"camel-zookeeper - Upgrade to latest 3.5.x - There is a newer 3.5.x version.

Check with kafka what ZK version it uses, whether we can jump to ZK 3.6.x",ATD,obstech
4,LUCENE-10253,Remove BadApple test annotation - Lucene currently doesn't have a single test annotated with BadApple. Let's remove this annotation and try hard to not add any new flaky test?    I know Solr is currently using this annotation so I plan to make this change 10.0-only to give Solr time to add this annotation on its end.,ATD,viomod
5,LUCENE-10197,UnifiedHighlighter should use builders for thread-safety - UnifiedHighlighter is not thread-safe due to the presence of setters. We can move the fields to builder so that the class becomes thread-safe.,ATD,viomod
6,LUCENE-9836,"Fix 8.x Maven Validation and publication to work with Maven Central and HTTPS again; remove pure Maven build (did not work anymore) - Currenty the Maven related stuff in 8.x completely fails, because Maven-Ant-Tasks is so outdated, that it has hardcoded Maven Central without HTTPS. This makes downloading fail.    You can mostly fix this with an additional remote repository, so it can fallback to that one.    I'd like to do the following on 8.x:  - Remove the Ant-Support for Maven: {{ant run-maven-build}} (this no longer bootsraps, because Maven Ant Tasks can't download Maven, as here is no way to override hardcoded repo; I have a workaround in forbiddenapis, but that's too complicated, so I will simply remoe that task)  - Fix the dependency checker: This works, but unfortunately there are some artifacts which itsself have ""http:"" in their POM file, those fail to download. Newer Maven versions have an hardcoded ""fixer"" in it, but Maven Ant Tasks again is missing this. I have no idea how to handle that.    I already tried some heavy committing, but the only way to solve this is to replace maven-ant-tasks with the followup ant task. I am not sure if this worth the trouble!    What do others think? Should we maybe simply disable the Maven Dependency checker?",ATD,viomod
7,LUCENE-9646,Set BM25Similarity discountOverlaps via the constructor - BM25Similarity�discountOverlaps parameter is true by default.    It can be set with {{org.apache.lucene.search.similarities.BM25Similarity#setDiscountOverlaps}} method.    But this method makes�BM25Similarity mutable.    �    discountOverlaps should be set via the constructor and�{{setDiscountOverlaps}} method should be removed to make�BM25Similarity immutable.    �    PR�https://github.com/apache/lucene-solr/pull/2161,ATD,viomod
8,LUCENE-9582,"Rename VectorValues.ScoreFunction  to SearchStrategy - This is an issue to apply some of the feedback from LUCENE-9322 that came after it was pushed; we want to:    1. rename VectorValues.ScoreFunction -> SearchStrategy (and all of the references to that terminology), and make it a simple enum with no implementation  2. rename the strategies to indicate the ANN implementation that backs them, so we can represent more than one such implementation/algorithm.  3. Move scoring implementation to a utility class    I'll open a separate issue for exploring how to hide the VectorValues.RandomAccess  API, which is probably specific to HNSW    FYI [~jtibshirani]",ATD,viomod
9,LUCENE-8955,"Move compare logic to IntersectVisitor in NearestNeighbor - Similar to LUCENE-8914, move compare logic to the IntersectVisitor so we can take advantage of the improvement added on LUCENE-7862. I ran the geoBenchmark for nearest 10 locally and the change provides an improvement of around 30%.",ATD,viomod
10,LUCENE-8914,Small improvement in FloatPointNearestNeighbor - Currently the logic to visit inner nodes of the BKD tree in�FloatPointNearestNeighbor is in the custom tree traversing logic instead of in the IntersectVisitor. This approach�is missing the improvement added on�LUCENE-7862 which my experiments shows that for a high number of dimensions can give a performance improvements of around 10%.    This change proposes to move the logic for discarding inner modes to the IntersectVisitor.,ATD,viomod
