,training_size,accuracy,precision,recall,fscore,model
0,100,0.6681749622926093,0.33408748114630465,0.5,0.40054249547920434,PredictionEntropy()
1,200,0.6681749622926093,0.33408748114630465,0.5,0.40054249547920434,PredictionEntropy()
2,300,0.7149321266968326,0.6908714807650977,0.6093525548943156,0.6099186571740762,PredictionEntropy()
3,400,0.6862745098039216,0.7280173025102823,0.5329930227785757,0.57430697447470344,PredictionEntropy()
4,500,0.6862745098039216,0.6337612674132751,0.6004925097475888,0.6034506556245687,PredictionEntropy()
5,600,0.693815987933635,0.710711510232277,0.5500769546480607,0.601098157119822,PredictionEntropy()
6,700,0.7254901960784313,0.7361584327086883,0.6081007592858608,0.6042180530044607,PredictionEntropy()
7,800,0.7315233785822021,0.7105426838749805,0.6389287912989945,0.6466054188726253,PredictionEntropy()
8,900,0.702865761689291,0.6582404094743165,0.6243484506464191,0.6301365208009446,PredictionEntropy()
9,1000,0.7104072398190046,0.6702997719126751,0.660881387235789,0.664608055982969,PredictionEntropy()
10,1100,0.6787330316742082,0.6919504643962848,0.5216293864149394,0.5983676814171636,PredictionEntropy()
11,1200,0.7134238310708899,0.698525783370343,0.5990714139134004,0.5945450097847358,PredictionEntropy()
12,1300,0.7194570135746606,0.7142437345199614,0.6047301457008003,0.6012326676324503,PredictionEntropy()
13,1400,0.7149321266968326,0.6766120485856363,0.6333777960188796,0.640299685674508,PredictionEntropy()
14,1500,0.7435897435897436,0.7099553777504231,0.6960086189205827,0.7014842359521993,PredictionEntropy()
15,1600,0.7405731523378583,0.7176240724543633,0.6582854504412067,0.6685847806375114,PredictionEntropy()
16,1700,0.7119155354449472,0.6704454180357795,0.6437051097886313,0.6504602729894973,PredictionEntropy()
17,1800,0.7058823529411765,0.6671205007824725,0.6643597373281347,0.6656442590432644,PredictionEntropy()
18,1900,0.7119155354449472,0.672920438811375,0.6665862918120254,0.6693007769145394,PredictionEntropy()
19,2000,0.7149321266968326,0.7068341425351137,0.5979119638826185,0.5919309089369629,PredictionEntropy()
20,2100,0.7405731523378583,0.7080121703853955,0.6788785142622615,0.6876068376068376,PredictionEntropy()
21,2200,0.6711915535444947,0.7103566009104705,0.5056895136466243,0.641448178636245786,PredictionEntropy()
22,2300,0.717948717948718,0.696898697620689,0.7168633285450441,0.7000399201596806,PredictionEntropy()
23,2400,0.7345399698340875,0.6992493717918429,0.6903806689924071,0.6941240615694334,PredictionEntropy()
24,2500,0.7300150829562594,0.6951386998589493,0.6618253642520009,0.6703828688080657,PredictionEntropy()
25,2600,0.7300150829562594,0.7038429897755318,0.6423763595321157,0.6506551118149733,PredictionEntropy()
