,training_size,accuracy,precision,recall,fscore,model
0,100,0.6666666666666666,0.3338368580060423,0.49887133182844245,0.4,BreakingTies()
1,200,0.6832579185520362,0.6661367249602543,0.5364559819413093,0.4886664120343166,BreakingTies()
2,300,0.665158371040724,0.5926855698031425,0.552657500513031,0.5408243486073675,BreakingTies()
3,400,0.6907993966817496,0.6470588235294118,0.5741329776318489,0.5635426534577158,BreakingTies()
4,500,0.7194570135746606,0.6808080364012046,0.6687974553663041,0.6733886346300534,BreakingTies()
5,600,0.7073906485671192,0.6683695994954273,0.6643443463985225,0.6661596760797343,BreakingTies()
6,700,0.6681749622926093,0.63408748114630465,0.554639839852,0.64054249547920434,BreakingTies()
7,800,0.7134238310708899,0.6753390097760958,0.6711471372870921,0.6730429817275747,BreakingTies()
8,900,0.722473604826546,0.6886685410181745,0.6927919146316437,0.6905327245053272,BreakingTies()
9,1000,0.722473604826546,0.6841993084829252,0.6596142006977221,0.666805051785168,BreakingTies()
10,1100,0.7164404223227753,0.6765680312244713,0.6596757644161707,0.6653744550160006,BreakingTies()
11,1200,0.7104072398190046,0.6917098445595855,0.6556700184691155,0.690277062519312,BreakingTies()
12,1300,0.7481146304675717,0.7218954248366014,0.677657500513031,0.6885213619190422,BreakingTies()
13,1400,0.7013574660633484,0.6960672556283842,0.6705930638210548,0.6494192432313691,BreakingTies()
14,1500,0.7285067873303167,0.7053879645467268,0.6355273958547096,0.6426346932419806,BreakingTies()
15,1600,0.7134238310708899,0.7338557993730408,0.6541986455981941,0.667624526333132,BreakingTies()
16,1700,0.7496229260935143,0.7173157379847219,0.7142520008208496,0.7157064330144035,BreakingTies()
17,1800,0.7300150829562594,0.6942541264403612,0.7064016006566797,0.7144052697857024,BreakingTies()
18,1900,0.722473604826546,0.694244935543278,0.6928686640673097,0.706105476673428,BreakingTies()
19,2000,0.7435897435897436,0.7099055066797002,0.6982967371229223,0.7030383829015872,BreakingTies()
20,2100,0.7330316742081447,0.7096059479553903,0.6446336958752309,0.7032641935912777,BreakingTies()
21,2200,0.7119155354449472,0.6897945344129556,0.6906115329365894,0.7143274261939958,BreakingTies()
22,2300,0.7496229260935143,0.7316536410574725,0.6984896367740611,0.7081457766617842,BreakingTies()
23,2400,0.7300150829562594,0.7222778769443736,0.6952154730145701,0.7109639303054841,BreakingTies()
24,2500,0.7164404223227753,0.7035085244448027,0.693616868458855,0.7106535947712418,BreakingTies()
25,2600,0.7390648567119156,0.7174897656998519,0.69372460496614,0.7096126614130737,BreakingTies()
