,training_size,accuracy,precision,recall,fscore,model
0,100,0.57687687687688,0.593952237495274,0.568435972825705,0.572929936305733,RandomSampling()
1,200,0.58198198198198,0.514216300940439,0.555134817817828,0.555379288794819,RandomSampling()
2,300,0.609159159159159,0.57957957957958,0.55343456,0.557285067873303,RandomSampling()
3,400,0.643693693693694,0.603977740245117,0.557036416364786,0.558974949346104,RandomSampling()
4,500,0.628678678678679,0.608350939671,0.622232647286083,0.561002576212967,RandomSampling()
5,600,0.651201201201201,0.612257495590829,0.582941306332975,0.588701622290617,RandomSampling()
6,700,0.618168168168168,0.617438271604938,0.59598005077619,0.567323658074085,RandomSampling()
7,800,0.610660660660661,0.610075187969925,0.592202643171806,0.552030892448513,RandomSampling()
8,900,0.607657657657658,0.602119734525261,0.61905160908352,0.596562639654402,RandomSampling()
9,1000,0.661711711711712,0.638069442753739,0.651544358925471,0.641619077018058,RandomSampling()
10,1100,0.664714714714715,0.634134430969874,0.637866898136534,0.63581161608136,RandomSampling()
11,1200,0.646696696696697,0.620786591061337,0.631645309223004,0.62392505695865,RandomSampling()
12,1300,0.670720720720721,0.639231633769179,0.639231633769179,0.639231633769179,RandomSampling()
13,1400,0.666216216216216,0.635603074497438,0.639005850300543,0.637150643598685,RandomSampling()
14,1500,0.658708708708709,0.634407648334319,0.647139072581859,0.637891934720223,RandomSampling()
15,1600,0.672222222222222,0.641455696202532,0.604205091668088,0.612063385400239,RandomSampling()
16,1700,0.669219219219219,0.636029833620195,0.606181951371258,0.613504586412331,RandomSampling()
17,1800,0.666216216216216,0.64000797993616,0.65070645138631,0.643584391241374,RandomSampling()
18,1900,0.672222222222222,0.638677811550152,0.624415220816232,0.629563701050956,RandomSampling()
19,2000,0.652702702702703,0.651754069531497,0.674493994159734,0.644673668417104,RandomSampling()
20,2100,0.672222222222222,0.652007772020725,0.669090243143709,0.655433028509952,RandomSampling()
21,2200,0.694744744744745,0.665392151807353,0.659582250408919,0.66218668971478,RandomSampling()
22,2300,0.690660660660661,0.680075187969925,0.682202643171806,0.682030892448513,RandomSampling()
23,2400,0.691201201201201,0.68014859437751,0.68132379356367,0.671911297839862,RandomSampling()
24,2500,0.692192192192192,0.681698985002272,0.675687335052633,0.68198785382504,RandomSampling()
25,2600,0.698228228228228,0.679020262310532,0.673435922651601,0.680993414443576,RandomSampling()
