,training_size,accuracy,precision,recall,fscore,model
0,100,0.6953242835595776,0.7092094703049758,0.5534937410219577,0.5167917448405254,EmbeddingKMeans(normalize=True)
1,200,0.6666666666666666,0.3338368580060423,0.49887133182844245,0.4,EmbeddingKMeans(normalize=True)
2,300,0.6681749622926093,0.33408748114630465,0.5,0.40054249547920434,EmbeddingKMeans(normalize=True)
3,400,0.6681749622926093,0.33408748114630465,0.5,0.40054249547920434,EmbeddingKMeans(normalize=True)
4,500,0.6681749622926093,0.33408748114630465,0.5,0.54054249547920434,EmbeddingKMeans(normalize=True)
5,600,0.6485671191553545,0.5612381522849794,0.535665914221219,0.6211512530803925,EmbeddingKMeans(normalize=True)
6,700,0.7209653092006033,0.6880344946335304,0.6344602914016007,0.6415954415954416,EmbeddingKMeans(normalize=True)
7,800,0.6681749622926093,0.33408748114630465,0.5,0.64054249547920434,EmbeddingKMeans(normalize=True)
8,900,0.7058823529411765,0.6674626245847176,0.6655037964293042,0.6664344595379078,EmbeddingKMeans(normalize=True)
9,1000,0.7073906485671192,0.6683433835338324,0.6140057459470551,0.6177970332334902,EmbeddingKMeans(normalize=True)
10,1100,0.7239819004524887,0.6873756954759447,0.6527344551610917,0.6608771483594347,EmbeddingKMeans(normalize=True)
11,1200,0.7149321266968326,0.6787330316742082,0.6791401600656679,0.6789346246973366,EmbeddingKMeans(normalize=True)
12,1300,0.7104072398190046,0.6712035610340695,0.6231274368971886,0.6287100989359716,EmbeddingKMeans(normalize=True)
13,1400,0.6892911010558069,0.6740737335662408,0.6942745741842807,0.6736830536335487,EmbeddingKMeans(normalize=True)
14,1500,0.702865761689291,0.683598672992809,0.7032885286271291,0.6854513008359162,EmbeddingKMeans(normalize=True)
15,1600,0.6953242835595776,0.7092094703049758,0.70534937410219577,0.6817917448405254,EmbeddingKMeans(normalize=True)
16,1700,0.7345399698340875,0.701134767502033,0.667499486969013,0.6764131688703523,EmbeddingKMeans(normalize=True)
17,1800,0.717948717948718,0.6931056932047629,0.7099989739380259,0.6970849733564952,EmbeddingKMeans(normalize=True)
18,1900,0.7164404223227753,0.7115384615384616,0.6990406320541761,0.6931240696733084,EmbeddingKMeans(normalize=True)
19,2000,0.6998491704374057,0.674339063649916,0.6895906012723167,0.6776465759248265,EmbeddingKMeans(normalize=True)
20,2100,0.6892911010558069,0.6709161505038366,0.6896983377796019,0.6718137254901961,EmbeddingKMeans(normalize=True)
21,2200,0.7134238310708899,0.6863566275151816,0.7008926739175046,0.6903453226091916,EmbeddingKMeans(normalize=True)
22,2300,0.7375565610859729,0.7032166508987701,0.6983583008413707,0.7005762043189369,EmbeddingKMeans(normalize=True)
23,2400,0.7119155354449472,0.6862444671433436,0.7020521239482864,0.6900754540581948,EmbeddingKMeans(normalize=True)
24,2500,0.7254901960784313,0.6954971857410882,0.6389903550174431,0.6867622950819671,EmbeddingKMeans(normalize=True)
25,2600,0.7239819004524887,0.7072425214051654,0.6207008003283399,0.6939084949086344,EmbeddingKMeans(normalize=True)
