,training_size,accuracy,precision,recall,fscore,model
0,100,0.7043740573152338,0.6602564102564102,0.4630533552226555,0.362038073908175,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
1,200,0.6681749622926093,0.33408748114630465,0.5,0.40054249547920434,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
2,300,0.6666666666666666,0.4338368580060423,0.49887133182844245,0.413313318284284,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
3,400,0.6923076923076923,0.7008631578947369,0.5489482864765032,0.5091455448131695,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
4,500,0.6681749622926093,0.53408748114630465,0.5,0.54054249547920434,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
5,600,0.717948717948718,0.6922107174073825,0.6173301867432793,0.6204736846938682,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
6,700,0.7315233785822021,0.6953247480403135,0.6789708598399343,0.6849128540305011,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
7,800,0.7194570135746606,0.6816549078174889,0.6447722142417402,0.6525157232704403,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
8,900,0.6998491704374057,0.7026143790849673,0.5648881592448184,0.5385285322047534,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
9,1000,0.7254901960784313,0.6886883523143849,0.6584393597373281,0.6664178609341826,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
10,1100,0.6968325791855203,0.6854161329283022,0.7079263287502565,0.6835156849287416,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
11,1200,0.7315233785822021,0.6954968944099379,0.6743946234352555,0.6813876889848812,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
12,1300,0.6681749622926093,0.63408748114630465,0.5,0.64054249547920434,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
13,1400,0.693815987933635,0.710711510232277,0.6400769546480607,0.6101098157119822,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
14,1500,0.6968325791855203,0.6552493015258972,0.5889441822286066,0.5851515877883032,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
15,1600,0.7209653092006033,0.6934372491303185,0.5776800738764621,0.6176803799730351,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
16,1700,0.7104072398190046,0.7326673964604999,0.5785091319515698,0.5583802836446393,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
17,1800,0.7420814479638009,0.7145104849450291,0.6685665914221219,0.6789509901368607,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
18,1900,0.6681749622926093,0.63408748114630465,0.65665914225,0.64054249547920434,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
19,2000,0.7450980392156863,0.727114362860378,0.6605273958547097,0.6713904033457194,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
20,2100,0.7360482654600302,0.70271997079226,0.6709162733429099,0.6797410878176021,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
21,2200,0.7058823529411765,0.682197756543415,0.6699958957521034,0.6629099038936152,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
22,2300,0.7375565610859729,0.7055728131212724,0.669756823312128,0.6790864582174252,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
23,2400,0.7134238310708899,0.7195827622963302,0.688774882002873,0.676486013986014,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
24,2500,0.7420814479638009,0.7091267350212735,0.6845834188384978,0.692600315064816,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
25,2600,0.7254901960784313,0.7030249410178632,0.7195066694028319,0.7068937038476486,"ContrastiveActiveLearning(k=10, embed_kwargs={}, normalize=True)"
